log.key,page_path_2
budget/operating_budget_FY12_datasd.csv,/operating-budget/
budget/operating_budget_FY13_datasd.csv,/operating-budget/
budget/operating_budget_FY14_datasd.csv,/operating-budget/
budget/operating_budget_FY15_datasd.csv,/operating-budget/
budget/operating_budget_FY16_datasd.csv,/operating-budget/
budget/operating_budget_FY17_datasd.csv,/operating-budget/
budget/operating_budget_FY18_datasd.csv,/operating-budget/
budget/operating_budget_FY19_datasd.csv,/operating-budget/
campaign_fin/financial_support_2007_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
campaign_fin/financial_support_2008_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
campaign_fin/financial_support_2009_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
campaign_fin/financial_support_2010_datasd.csv,/financial-support-candidates-and-ballot-measures-election/
