page_path_2,date_month,users,pageviews
/gid-illegal-dumping/,6,1,1
/gid-illegal-dumping/,7,2,4
/gid-illegal-dumping/,8,3,3
/gid-illegal-dumping/,9,7,7
/gid-illegal-dumping/,10,10,15
/gid-illegal-dumping/,11,30,45
/gid-illegal-dumping/,12,18,20
/gid-litter-dumping/,6,3,4
/gid-litter-dumping/,7,2,2
/gid-pothole/,1,5,6
/gid-pothole/,2,20,26
/gid-pothole/,3,8,9
/gid-pothole/,4,6,6
/gid-pothole/,5,2,2
/gid-pothole/,6,10,13
/gid-pothole/,7,8,10
/gid-pothole/,8,12,14
/gid-pothole/,9,11,15
/gid-pothole/,10,17,18
/gid-pothole/,11,36,46
/gid-pothole/,12,26,29
/gid-street-light/,1,9,14
/gid-street-light/,2,11,11
/gid-street-light/,3,6,6
/gid-street-light/,4,1,1
/gid-street-light/,5,2,3
/gid-street-light/,6,6,6
/gid-street-light/,7,7,7
/gid-street-light/,8,48,69
/gid-street-light/,9,20,28
/gid-street-light/,10,18,19
/gid-street-light/,11,13,17
/gid-street-light/,12,2,2
/historic-districts/,1,2,3
/historic-districts/,2,5,6
/historic-districts/,3,4,4
/historic-districts/,4,10,10
/historic-districts/,5,3,3
/historic-districts/,6,3,3
/historic-districts/,7,4,4
/historic-districts/,8,2,2
/historic-districts/,9,7,7
/historic-districts/,10,8,8
/historic-districts/,11,18,22
/historic-districts/,12,7,7
/joint-use/,1,6,9
/joint-use/,2,13,17
/joint-use/,3,10,12
/joint-use/,4,6,7
/joint-use/,5,14,20
/joint-use/,6,15,18
/joint-use/,7,9,10
/joint-use/,8,7,8
/joint-use/,9,13,15
/joint-use/,10,9,10
/joint-use/,11,16,19
/joint-use/,12,17,18
/library-locations-in-san-diego-county/,6,10,10
/library-locations-in-san-diego-county/,7,6,6
/library-locations/,1,13,15
/library-locations/,2,14,17
/library-locations/,3,2,4
/library-locations/,4,13,14
/library-locations/,5,11,12
/library-locations/,6,3,3
/library-locations/,7,9,10
/library-locations/,8,15,18
/library-locations/,9,18,19
/library-locations/,10,10,17
/library-locations/,11,20,22
/library-locations/,12,8,10
/lifeguard-stations/,1,5,7
/lifeguard-stations/,2,9,10
/lifeguard-stations/,3,1,1
/lifeguard-stations/,4,8,12
/lifeguard-stations/,5,20,31
/lifeguard-stations/,6,9,10
/lifeguard-stations/,7,25,33
/lifeguard-stations/,8,30,37
/lifeguard-stations/,9,17,22
/lifeguard-stations/,10,27,35
/lifeguard-stations/,11,19,20
/lifeguard-stations/,12,19,21
/maintenance-assessment-districts/,1,2,2
/maintenance-assessment-districts/,2,3,5
/maintenance-assessment-districts/,5,1,1
/maintenance-assessment-districts/,6,4,4
/maintenance-assessment-districts/,7,3,3
/maintenance-assessment-districts/,8,2,2
/maintenance-assessment-districts/,9,4,9
/maintenance-assessment-districts/,10,7,7
/maintenance-assessment-districts/,11,12,17
/maintenance-assessment-districts/,12,5,6
/mhpa-areas/,1,3,3
/mhpa-areas/,2,10,12
/mhpa-areas/,3,5,5
/mhpa-areas/,4,11,11
/mhpa-areas/,5,13,14
/mhpa-areas/,6,9,11
/mhpa-areas/,7,6,10
/mhpa-areas/,8,10,11
/mhpa-areas/,9,8,11
/mhpa-areas/,10,9,9
/mhpa-areas/,11,18,20
/mhpa-areas/,12,15,15
/monitoring-of-indicator-bacteria-in-drinking-water/,1,5,8
/monitoring-of-indicator-bacteria-in-drinking-water/,2,12,19
/monitoring-of-indicator-bacteria-in-drinking-water/,3,7,7
/monitoring-of-indicator-bacteria-in-drinking-water/,4,6,8
/monitoring-of-indicator-bacteria-in-drinking-water/,5,3,3
/monitoring-of-indicator-bacteria-in-drinking-water/,6,17,29
/monitoring-of-indicator-bacteria-in-drinking-water/,7,9,9
/monitoring-of-indicator-bacteria-in-drinking-water/,8,12,18
/monitoring-of-indicator-bacteria-in-drinking-water/,9,16,22
/monitoring-of-indicator-bacteria-in-drinking-water/,10,16,19
/monitoring-of-indicator-bacteria-in-drinking-water/,11,24,35
/monitoring-of-indicator-bacteria-in-drinking-water/,12,21,27
/monitoring-of-select-chemical-parameters-in-drinking-water/,1,5,5
/monitoring-of-select-chemical-parameters-in-drinking-water/,2,9,16
/monitoring-of-select-chemical-parameters-in-drinking-water/,3,7,8
/monitoring-of-select-chemical-parameters-in-drinking-water/,4,4,4
/monitoring-of-select-chemical-parameters-in-drinking-water/,5,3,5
/monitoring-of-select-chemical-parameters-in-drinking-water/,6,14,23
/monitoring-of-select-chemical-parameters-in-drinking-water/,7,8,8
/monitoring-of-select-chemical-parameters-in-drinking-water/,8,9,10
/monitoring-of-select-chemical-parameters-in-drinking-water/,9,12,19
/monitoring-of-select-chemical-parameters-in-drinking-water/,10,11,13
/monitoring-of-select-chemical-parameters-in-drinking-water/,11,17,24
/monitoring-of-select-chemical-parameters-in-drinking-water/,12,15,16
/operating-actuals/,10,2,4
/operating-actuals/,11,1,4
/operating-actuals/,12,3,3
/operating-budget/,1,8,8
/operating-budget/,2,11,15
